incident_description,primary_cause
"While contractor was marking out for gas company, he moved a digging bar that was laying on the ground  and stuck it in the ground standing up. As he turned around and started marking out again, the digging bar fell almost striking him. ",RAIN
The plant shift mechanic reported that the light switch in the diesel generator room sparks when operated. We will have this checked out asap by our maint man or electrician.,RAIN-ELECTRICAL
"Employee observed that bleach had been put into a smaller container to be used for Bach sample collection, but the bottle was not labeled.  Correction: bottle was labeled with the appropriate labels and discussed with team that all containers need to be labeled appropriately.",-CHEMICAL
"After opening the Well vault hatch, the employee completed a visual inspection of the vault before entering.  The employee noticed a snake coiled around the hinge to the vault lid.  The snake was safely removed using a couple of long sticks and returned to the wooded area next to the facility.  ",RAIN
Round up pesticide in coat closet - should be moved to proper storage area for those types of chemicals. ,-CHEMICAL
"Employee noticed something odd about gallon containers that were recently drained and filled with hydrant oil and returned to the pallet of new water. Containers were not properly marked and were placed in the incorrect location. We removed the open jugs from the pallet and placed them on a shelf with the proper markings labeled on them. We reminded everyone that if they tamper with any chemical or container, they are to properly mark and label the container to prevent any misuse or serious injury. One employee recommended that food dye should be used to visibly show that the jug contains hydrant oil and not water. ",-CHEMICAL
Observed unlabeled chemical that appears to be antifreeze in 5 gal water containers,-CHEMICAL
"During a routine inspection of our external storage room, it was observed that one of our specialty gas vendors had made a delivery and picked up empty cylinders without securing the cylinders which were remaining in this location.  The immediate action taken was to secure the empty cylinders.  The long term solution , which will be discussed at the monthly staff meeting, is to ensure that an inspection of the delivery area by the personnel receiving the materials  prior to the vendor leaving our premise.  This will ensure all cylinders ( empty or full ) are labeled properly and secured at all times.",-CHEMICAL
"Failure Finding; the Aluminum Chlorohydrate (ACH) chemical tank fill line cracked while loading.  Determined that by installing a true onion, we will be able to change the cam lock connection out quickly and prevent a loss of the product; 2 gallons collected by a catch bucket.  In addition, a hose stand will be fabricated to prevent fill line movement in order to reduce the stress placed on the tank piping.  Locked out fill line, placed parts on order, and cleaned the floor/drain under the piping that splashed from the bucket.  ",-CHEMICAL
CAF catwalk safety gate failed to operate properly causing operator to temporarily loose balance on ladder entry way less than 6 feet.  Notified all employees of condition and to use ladder support instead of gate for balance.  Placed new gate on order - will replace upon arrival.  ,-FALL-POOR_JUDGMENT-NEGLIGENCE
Employee was performing monthly hydrometer test on caustic solution in chlorine scrubber.  Test was below minimum specification. Caustic solution in scrubber was changed by manufacturer approximately three weeks prior and does not meet minimum requirements.  Manufacturer was contacted and caustic in scrubber will be corrected on 2/15/16.,-CHEMICAL
